#species id	cell-line names	
species:ncbi:9606	IGF033/94 cell-lines|IGF033/94 cell-line|IGF033/94 cellline|IGF033/94 cell|IGF033/94 celllines|IGF033/94 cells
species:ncbi:9606	IGF003/87 cell|IGF003/87 celllines|IGF003/87 cellline|IGF003/87 cell-line|IGF003/87 cell-lines|IGF003/87 cells
species:ncbi:9986	FEL cellline|FEL cells|FEL celllines|FEL cell-line|FEL cell-lines|FEL cell
species:ncbi:10090	L138.8A cell|L138.8A cellline|L138.8A cells|L138.8A cell-lines|L138.8A cell-line|L138.8A celllines
species:ncbi:10090	CAT-13.6E12 celllines|CAT-13.6E12 cells|CAT-13.6E12 cell|CAT-13.6E12 cellline|CAT-13.6E12 cell-lines|CAT-13.6E12 cell-line
species:ncbi:9606	MCT95M cells|MCT95M cell|MCT95M celllines|MCT95M cell-line|MCT95M cellline|MCT95M cell-lines
species:ncbi:9606	IGF026/84 cell-line|IGF026/84 cells|IGF026/84 cell|IGF026/84 celllines|IGF026/84 cell-lines|IGF026/84 cellline
species:ncbi:9606	COLO 668 cell-lines|COLO 668 cells|COLO 668 cell|COLO 668 cell-line|COLO 668 celllines|COLO 668 cellline
species:ncbi:9606	IGF019/80 cell-line|IGF019/80 celllines|IGF019/80 cell|IGF019/80 cells|IGF019/80 cellline|IGF019/80 cell-lines
species:ncbi:9606	IGF033/95 cell-line|IGF033/95 cells|IGF033/95 cellline|IGF033/95 celllines|IGF033/95 cell-lines|IGF033/95 cell
species:ncbi:9606	MKN-45 cellline|MKN-45 cell-line|MKN-45 cell|MKN-45 celllines|MKN-45 cell-lines|MKN-45 cells
species:ncbi:9606	C87 cell-lines|C87 cells|C87 cell-line|C87 celllines|C87 cellline|C87 cell
species:ncbi:9606	IGF003/86 cells|IGF003/86 cellline|IGF003/86 celllines|IGF003/86 cell-line|IGF003/86 cell|IGF003/86 cell-lines
species:ncbi:10116	YO cells|YO cellline|YO cell|YO cell-lines|YO celllines|YO cell-line
species:ncbi:9606	S1887 cell-lines|S1887 celllines|S1887 cell|S1887 cell-line|S1887 cellline|S1887 cells
species:ncbi:9606	AFA95M cell-lines|AFA95M cells|AFA95M cell|AFA95M cellline|AFA95M celllines|AFA95M cell-line
species:ncbi:9606	COLO 357 cell-line|COLO 357 celllines|COLO 357 cellline|COLO 357 cell|COLO 357 cells|COLO 357 cell-lines
species:ncbi:9913	FB2.Sp cell-lines|FB2.Sp cell-line|FB2.Sp cells|FB2.Sp cellline|FB2.Sp celllines|FB2.Sp cell
species:ncbi:9606	IGF003/85 cells|IGF003/85 cell-line|IGF003/85 cell-lines|IGF003/85 celllines|IGF003/85 cellline|IGF003/85 cell
species:ncbi:9606	IGF014/83 cells|IGF014/83 celllines|IGF014/83 cell-line|IGF014/83 cell-lines|IGF014/83 cellline|IGF014/83 cell
species:ncbi:9606	EHEB cell-line|EHEB cell|EHEB cellline|EHEB cell-lines|EHEB celllines|EHEB cells
species:ncbi:9606	AP95 cells|AP95 cell|AP95 cellline|AP95 cell-lines|AP95 cell-line|AP95 celllines
species:ncbi:7111	Tn5 B1-4 celllines|Tn5 B1-4 cell-line|Tn5 B1-4 cell|Tn5 B1-4 cellline|Tn5 B1-4 cells|Tn5 B1-4 cell-lines
species:ncbi:9694	Tn5 B1-4 celllines|Tn5 B1-4 cell-line|Tn5 B1-4 cell|Tn5 B1-4 cellline|Tn5 B1-4 cells|Tn5 B1-4 cell-lines
species:ncbi:9606	IGF033/96 cell-line|IGF033/96 cellline|IGF033/96 cell|IGF033/96 celllines|IGF033/96 cell-lines|IGF033/96 cells
species:ncbi:9606	FE92 cell-lines|FE92 cell|FE92 celllines|FE92 cell-line|FE92 cellline|FE92 cells
